Year,Country,TotalVaccines,Scenario,
2022,Country E,52.299322,Scenario 2 - 100% Vaccine Coverage in All Species,
2023,Country E,54.897102,Scenario 2 - 100% Vaccine Coverage in All Species,
2024,Country E,57.623604,Scenario 2 - 100% Vaccine Coverage in All Species,
2025,Country E,60.492161,Scenario 2 - 100% Vaccine Coverage in All Species,
2026,Country E,63.497947,Scenario 2 - 100% Vaccine Coverage in All Species,
2027,Country E,66.652798,Scenario 2 - 100% Vaccine Coverage in All Species,
2028,Country E,69.967113,Scenario 2 - 100% Vaccine Coverage in All Species,
2029,Country E,73.446172,Scenario 2 - 100% Vaccine Coverage in All Species,
2030,Country E,77.096685,Scenario 2 - 100% Vaccine Coverage in All Species,
2022,Country F,11.217349,Scenario 2 - 100% Vaccine Coverage in All Species,
2023,Country F,11.625437,Scenario 2 - 100% Vaccine Coverage in All Species,
2024,Country F,12.049306,Scenario 2 - 100% Vaccine Coverage in All Species,
2025,Country F,12.496128,Scenario 2 - 100% Vaccine Coverage in All Species,
2026,Country F,12.976146,Scenario 2 - 100% Vaccine Coverage in All Species,
2027,Country F,13.489204,Scenario 2 - 100% Vaccine Coverage in All Species,
2028,Country F,14.033555,Scenario 2 - 100% Vaccine Coverage in All Species,
2029,Country F,14.607495,Scenario 2 - 100% Vaccine Coverage in All Species,
2030,Country F,15.216577,Scenario 2 - 100% Vaccine Coverage in All Species,
2022,Country D,132.704846,Scenario 3 - Increased PCP Progression by 1 Stage ,
2023,Country D,138.074818,Scenario 3 - Increased PCP Progression by 1 Stage ,
2024,Country D,143.642806,Scenario 3 - Increased PCP Progression by 1 Stage ,
2025,Country D,149.451905,Scenario 3 - Increased PCP Progression by 1 Stage ,
2026,Country D,155.506677,Scenario 3 - Increased PCP Progression by 1 Stage ,
2027,Country D,161.813667,Scenario 3 - Increased PCP Progression by 1 Stage ,
2028,Country D,168.325636,Scenario 3 - Increased PCP Progression by 1 Stage ,
2029,Country D,175.059213,Scenario 3 - Increased PCP Progression by 1 Stage ,
2030,Country D,182.065849,Scenario 3 - Increased PCP Progression by 1 Stage ,
