"Country_code","Year","Species","Pop"
"BFA",1995,"LR",4345900
"BGD",1995,"LR",24859000
"BHR",1995,"LR",11010
"BTN",1995,"LR",373301
"BWA",1995,"LR",2530000
"CAF",1995,"LR",2797200
"CIV",1995,"LR",1258000
"CMR",1995,"LR",4650000
"COD",1995,"LR",1113140
"COG",1995,"LR",70000
"COM",1995,"LR",45700
"CPV",1995,"LR",18530
"DJI",1995,"LR",246770
"EGY",1995,"LR",5721726
"ERI",1995,"LR",1312050
"ETH",1995,"LR",29825030
"GAB",1995,"LR",38000
"GEO",1995,"LR",973600
"GHA",1995,"LR",1216677
"GIN",1995,"LR",2202260
"GMB",1995,"LR",350761
"GNB",1995,"LR",452570
"GNQ",1995,"LR",4850
"IND",1995,"LR",289319000
"IRN",1995,"LR",8794000
"IRQ",1995,"LR",1260000
"JOR",1995,"LR",47506
"KEN",1995,"LR",12779000
"KGZ",1995,"LR",920100
"KWT",1995,"LR",19879
"LBN",1995,"LR",59790
"LBR",1995,"LR",36000
"LKA",1995,"LR",2468300
"MLI",1995,"LR",5316527
"MOZ",1995,"LR",900000
"MRT",1995,"LR",1111000
"MWI",1995,"LR",745830
"NAM",1995,"LR",2031350
"NER",1995,"LR",4096430
"NGA",1995,"LR",15000000
"NPL",1995,"LR",10116168
"OMN",1995,"LR",235000
"PAK",1995,"LR",37559000
"PSE",1995,"LR",18024
"QAT",1995,"LR",13635
"RWA",1995,"LR",465173
"SAU",1995,"LR",252760
"SEN",1995,"LR",2800000
"SLE",1995,"LR",350000
"SOM",1995,"LR",5200000
"STP",1995,"LR",3800
"SYR",1995,"LR",776244
"TCD",1995,"LR",8849000
"TGO",1995,"LR",202340
"TJK",1995,"LR",1211566
"TKM",1995,"LR",1181000
"TUR",1995,"LR",11839820
"TUR2",1995,"LR",366180
"TZA",1995,"LR",15644800
"UGA",1995,"LR",5233000
"UZB",1995,"LR",5483300
"YEM",1995,"LR",1174213
"ZMB",1995,"LR",2400000
"ZWE",1995,"LR",4500000
"AFG",1996,"LR",2641400
"AGO",1996,"LR",3309000
"AllAF",1996,"LR",145370126
"AllAS",1996,"LR",411457862
"AllCA",1996,"LR",16918426
"AllEA",1996,"LR",56169712
"AllME",1996,"LR",10026314
"AllSAARC",1996,"LR",325477164
"AllSADC",1996,"LR",31516029
"AllWA",1996,"LR",40765959
"AllWE",1996,"LR",75954384
"ARE",1996,"LR",74026
"ARM",1996,"LR",508114
"AZE",1996,"LR",1681700
"BDI",1996,"LR",383522
"BEN",1996,"LR",1300000
"BFA",1996,"LR",4432900
"BGD",1996,"LR",22880000
"BHR",1996,"LR",12000
"BTN",1996,"LR",356644
"BWA",1996,"LR",2249000
"CAF",1996,"LR",2860726
"CIV",1996,"LR",1286000
"CMR",1996,"LR",4623000
"COD",1996,"LR",1060272
"COG",1996,"LR",72000
"COM",1996,"LR",47000
"CPV",1996,"LR",21224
"DJI",1996,"LR",266450
"EGY",1996,"LR",6168650
"ERI",1996,"LR",1600000
"ETH",1996,"LR",31207040
"GAB",1996,"LR",36000
"GEO",1996,"LR",1008000
"GHA",1996,"LR",1247861
"GIN",1996,"LR",2316620
"GMB",1996,"LR",353392
"GNB",1996,"LR",463880
"GNQ",1996,"LR",4850
"IND",1996,"LR",289525000
"IRN",1996,"LR",8948000
